id,minutes_asleep,minutes_in_bed,date,time
1503960366,327,346,2016-04-12,00:00:00
1503960366,384,407,2016-04-13,00:00:00
1503960366,412,442,2016-04-15,00:00:00
1503960366,340,367,2016-04-16,00:00:00
1503960366,700,712,2016-04-17,00:00:00
1503960366,304,320,2016-04-19,00:00:00
1503960366,360,377,2016-04-20,00:00:00
1503960366,325,364,2016-04-21,00:00:00
1503960366,361,384,2016-04-23,00:00:00
1503960366,430,449,2016-04-24,00:00:00
1503960366,277,323,2016-04-25,00:00:00
1503960366,245,274,2016-04-26,00:00:00
1503960366,366,393,2016-04-28,00:00:00
1503960366,341,354,2016-04-29,00:00:00
1503960366,404,425,2016-04-30,00:00:00
1503960366,369,396,2016-05-01,00:00:00
1503960366,277,309,2016-05-02,00:00:00
1503960366,273,296,2016-05-03,00:00:00
1503960366,247,264,2016-05-05,00:00:00
1503960366,334,367,2016-05-06,00:00:00
1503960366,331,349,2016-05-07,00:00:00
1503960366,594,611,2016-05-08,00:00:00
1503960366,338,342,2016-05-09,00:00:00
1503960366,383,403,2016-05-10,00:00:00
1503960366,285,306,2016-05-11,00:00:00
1644430081,119,127,2016-04-29,00:00:00
1644430081,124,142,2016-04-30,00:00:00
1644430081,796,961,2016-05-02,00:00:00
1644430081,137,154,2016-05-08,00:00:00
1844505072,644,961,2016-04-15,00:00:00
1844505072,722,961,2016-04-30,00:00:00
1844505072,590,961,2016-05-01,00:00:00
1927972279,750,775,2016-04-12,00:00:00
1927972279,398,422,2016-04-13,00:00:00
1927972279,475,499,2016-04-15,00:00:00
1927972279,296,315,2016-04-26,00:00:00
1927972279,166,178,2016-04-28,00:00:00
2026352035,503,546,2016-04-12,00:00:00
2026352035,531,565,2016-04-13,00:00:00
2026352035,545,568,2016-04-14,00:00:00
2026352035,523,573,2016-04-15,00:00:00
2026352035,524,567,2016-04-16,00:00:00
2026352035,437,498,2016-04-17,00:00:00
2026352035,498,540,2016-04-19,00:00:00
2026352035,461,510,2016-04-20,00:00:00
2026352035,477,514,2016-04-21,00:00:00
2026352035,520,545,2016-04-22,00:00:00
2026352035,522,554,2016-04-23,00:00:00
2026352035,555,591,2016-04-24,00:00:00
2026352035,506,531,2016-04-25,00:00:00
2026352035,508,545,2016-04-27,00:00:00
2026352035,513,545,2016-04-28,00:00:00
2026352035,490,510,2016-04-29,00:00:00
2026352035,573,607,2016-04-30,00:00:00
2026352035,527,546,2016-05-01,00:00:00
2026352035,511,543,2016-05-02,00:00:00
2026352035,538,560,2016-05-04,00:00:00
2026352035,468,485,2016-05-05,00:00:00
2026352035,524,548,2016-05-06,00:00:00
2026352035,511,521,2016-05-07,00:00:00
2026352035,541,568,2016-05-08,00:00:00
2026352035,531,556,2016-05-09,00:00:00
2026352035,357,380,2016-05-10,00:00:00
2026352035,523,553,2016-05-11,00:00:00
2026352035,456,485,2016-05-12,00:00:00
2320127002,61,69,2016-04-23,00:00:00
2347167796,467,531,2016-04-13,00:00:00
2347167796,445,489,2016-04-14,00:00:00
2347167796,452,504,2016-04-15,00:00:00
2347167796,556,602,2016-04-17,00:00:00
2347167796,500,557,2016-04-18,00:00:00
2347167796,465,514,2016-04-19,00:00:00
2347167796,460,484,2016-04-21,00:00:00
2347167796,405,461,2016-04-22,00:00:00
2347167796,374,386,2016-04-23,00:00:00
2347167796,442,459,2016-04-24,00:00:00
2347167796,433,471,2016-04-25,00:00:00
2347167796,436,490,2016-04-26,00:00:00
2347167796,448,499,2016-04-27,00:00:00
2347167796,408,450,2016-04-28,00:00:00
2347167796,411,473,2016-04-29,00:00:00
3977333714,274,469,2016-04-12,00:00:00
3977333714,295,456,2016-04-13,00:00:00
3977333714,291,397,2016-04-14,00:00:00
3977333714,424,556,2016-04-15,00:00:00
3977333714,283,510,2016-04-16,00:00:00
3977333714,381,566,2016-04-17,00:00:00
3977333714,412,522,2016-04-18,00:00:00
3977333714,219,395,2016-04-19,00:00:00
3977333714,152,305,2016-04-20,00:00:00
3977333714,332,512,2016-04-21,00:00:00
3977333714,355,476,2016-04-22,00:00:00
3977333714,235,372,2016-04-23,00:00:00
3977333714,310,526,2016-04-24,00:00:00
3977333714,262,467,2016-04-25,00:00:00
3977333714,250,371,2016-04-26,00:00:00
3977333714,349,540,2016-04-27,00:00:00
3977333714,261,423,2016-04-28,00:00:00
3977333714,333,478,2016-04-29,00:00:00
3977333714,237,382,2016-04-30,00:00:00
3977333714,383,626,2016-05-01,00:00:00
3977333714,230,384,2016-05-02,00:00:00
3977333714,292,500,2016-05-03,00:00:00
3977333714,213,336,2016-05-04,00:00:00
3977333714,318,480,2016-05-05,00:00:00
3977333714,323,512,2016-05-06,00:00:00
3977333714,237,443,2016-05-07,00:00:00
3977333714,259,456,2016-05-08,00:00:00
3977333714,312,452,2016-05-10,00:00:00
4020332650,501,541,2016-04-12,00:00:00
4020332650,77,77,2016-04-16,00:00:00
4020332650,322,332,2016-05-03,00:00:00
4020332650,478,536,2016-05-04,00:00:00
4020332650,226,248,2016-05-05,00:00:00
4020332650,385,408,2016-05-06,00:00:00
4020332650,364,402,2016-05-08,00:00:00
4020332650,442,494,2016-05-10,00:00:00
4319703577,535,557,2016-04-14,00:00:00
4319703577,465,491,2016-04-15,00:00:00
4319703577,506,522,2016-04-16,00:00:00
4319703577,515,551,2016-04-18,00:00:00
4319703577,461,498,2016-04-19,00:00:00
4319703577,523,543,2016-04-20,00:00:00
4319703577,59,65,2016-04-21,00:00:00
4319703577,533,550,2016-04-22,00:00:00
4319703577,692,722,2016-04-23,00:00:00
4319703577,467,501,2016-04-24,00:00:00
4319703577,488,506,2016-04-25,00:00:00
4319703577,505,516,2016-04-26,00:00:00
4319703577,286,307,2016-04-27,00:00:00
4319703577,497,522,2016-04-28,00:00:00
4319703577,523,546,2016-04-29,00:00:00
4319703577,490,516,2016-04-30,00:00:00
4319703577,484,500,2016-05-01,00:00:00
4319703577,478,506,2016-05-02,00:00:00
4319703577,474,512,2016-05-03,00:00:00
4319703577,450,491,2016-05-06,00:00:00
4319703577,507,530,2016-05-07,00:00:00
4319703577,602,638,2016-05-08,00:00:00
4319703577,535,565,2016-05-09,00:00:00
4319703577,487,517,2016-05-10,00:00:00
4319703577,529,558,2016-05-11,00:00:00
4319703577,302,321,2016-05-12,00:00:00
4388161847,499,526,2016-04-15,00:00:00
4388161847,426,448,2016-04-16,00:00:00
4388161847,619,641,2016-04-17,00:00:00
4388161847,99,104,2016-04-18,00:00:00
4388161847,329,338,2016-04-19,00:00:00
4388161847,421,451,2016-04-20,00:00:00
4388161847,442,458,2016-04-21,00:00:00
4388161847,82,85,2016-04-22,00:00:00
4388161847,478,501,2016-04-23,00:00:00
4388161847,552,595,2016-04-24,00:00:00
4388161847,319,346,2016-04-26,00:00:00
4388161847,439,500,2016-04-27,00:00:00
4388161847,428,458,2016-04-28,00:00:00
4388161847,409,430,2016-04-30,00:00:00
4388161847,547,597,2016-05-01,00:00:00
4388161847,368,376,2016-05-02,00:00:00
4388161847,390,414,2016-05-04,00:00:00
4388161847,471,495,2016-05-05,00:00:00
4388161847,471,495,2016-05-05,00:00:00
4388161847,472,496,2016-05-07,00:00:00
4388161847,529,541,2016-05-08,00:00:00
4388161847,62,65,2016-05-09,00:00:00
4388161847,354,375,2016-05-10,00:00:00
4388161847,469,494,2016-05-11,00:00:00
4445114986,429,457,2016-04-12,00:00:00
4445114986,370,406,2016-04-13,00:00:00
4445114986,441,492,2016-04-14,00:00:00
4445114986,337,379,2016-04-15,00:00:00
4445114986,462,499,2016-04-16,00:00:00
4445114986,98,107,2016-04-17,00:00:00
4445114986,388,424,2016-04-19,00:00:00
4445114986,439,462,2016-04-20,00:00:00
4445114986,436,469,2016-04-21,00:00:00
4445114986,388,417,2016-04-22,00:00:00
4445114986,328,345,2016-04-25,00:00:00
4445114986,353,391,2016-04-26,00:00:00
4445114986,332,374,2016-04-27,00:00:00
4445114986,419,442,2016-04-28,00:00:00
4445114986,106,108,2016-04-29,00:00:00
4445114986,322,353,2016-04-30,00:00:00
4445114986,439,459,2016-05-01,00:00:00
4445114986,502,542,2016-05-02,00:00:00
4445114986,417,450,2016-05-03,00:00:00
4445114986,337,363,2016-05-04,00:00:00
4445114986,462,513,2016-05-05,00:00:00
4445114986,374,402,2016-05-06,00:00:00
4445114986,401,436,2016-05-07,00:00:00
4445114986,361,391,2016-05-08,00:00:00
4445114986,457,533,2016-05-09,00:00:00
4445114986,405,426,2016-05-10,00:00:00
4445114986,499,530,2016-05-11,00:00:00
4445114986,483,501,2016-05-12,00:00:00
4558609924,126,137,2016-04-21,00:00:00
4558609924,103,121,2016-04-26,00:00:00
4558609924,171,179,2016-04-29,00:00:00
4558609924,115,129,2016-05-01,00:00:00
4558609924,123,134,2016-05-08,00:00:00
4702921684,425,439,2016-04-12,00:00:00
4702921684,400,430,2016-04-13,00:00:00
4702921684,384,415,2016-04-14,00:00:00
4702921684,253,257,2016-04-15,00:00:00
4702921684,382,406,2016-04-16,00:00:00
4702921684,591,612,2016-04-17,00:00:00
4702921684,293,312,2016-04-18,00:00:00
4702921684,457,487,2016-04-19,00:00:00
4702921684,454,468,2016-04-20,00:00:00
4702921684,425,434,2016-04-21,00:00:00
4702921684,465,475,2016-04-23,00:00:00
4702921684,480,506,2016-04-24,00:00:00
4702921684,370,380,2016-04-25,00:00:00
4702921684,421,429,2016-04-26,00:00:00
4702921684,432,449,2016-04-27,00:00:00
4702921684,442,461,2016-04-28,00:00:00
4702921684,433,447,2016-04-29,00:00:00
4702921684,479,501,2016-04-30,00:00:00
4702921684,327,373,2016-05-03,00:00:00
4702921684,412,434,2016-05-04,00:00:00
4702921684,414,428,2016-05-05,00:00:00
4702921684,404,449,2016-05-06,00:00:00
4702921684,520,543,2016-05-07,00:00:00
4702921684,520,543,2016-05-07,00:00:00
4702921684,435,458,2016-05-09,00:00:00
4702921684,416,431,2016-05-10,00:00:00
4702921684,354,366,2016-05-11,00:00:00
4702921684,404,442,2016-05-12,00:00:00
5553957443,441,464,2016-04-12,00:00:00
5553957443,455,488,2016-04-13,00:00:00
5553957443,357,418,2016-04-14,00:00:00
5553957443,377,409,2016-04-15,00:00:00
5553957443,651,686,2016-04-16,00:00:00
5553957443,350,402,2016-04-17,00:00:00
5553957443,520,541,2016-04-18,00:00:00
5553957443,357,410,2016-04-19,00:00:00
5553957443,658,678,2016-04-20,00:00:00
5553957443,399,431,2016-04-21,00:00:00
5553957443,322,353,2016-04-22,00:00:00
5553957443,631,725,2016-04-23,00:00:00
5553957443,553,640,2016-04-24,00:00:00
5553957443,433,468,2016-04-25,00:00:00
5553957443,412,453,2016-04-26,00:00:00
5553957443,347,391,2016-04-27,00:00:00
5553957443,421,457,2016-04-28,00:00:00
5553957443,450,495,2016-04-29,00:00:00
5553957443,775,843,2016-04-30,00:00:00
5553957443,622,686,2016-05-01,00:00:00
5553957443,409,471,2016-05-02,00:00:00
5553957443,380,429,2016-05-03,00:00:00
5553957443,447,470,2016-05-04,00:00:00
5553957443,419,464,2016-05-05,00:00:00
5553957443,400,434,2016-05-06,00:00:00
5553957443,442,470,2016-05-07,00:00:00
5553957443,568,608,2016-05-08,00:00:00
5553957443,453,494,2016-05-09,00:00:00
5553957443,418,443,2016-05-10,00:00:00
5553957443,463,486,2016-05-11,00:00:00
5553957443,438,475,2016-05-12,00:00:00
5577150313,419,438,2016-04-12,00:00:00
5577150313,432,458,2016-04-13,00:00:00
5577150313,477,497,2016-04-14,00:00:00
5577150313,392,413,2016-04-15,00:00:00
5577150313,406,445,2016-04-16,00:00:00
5577150313,549,583,2016-04-17,00:00:00
5577150313,527,553,2016-04-18,00:00:00
5577150313,449,465,2016-04-19,00:00:00
5577150313,447,480,2016-04-20,00:00:00
5577150313,414,437,2016-04-21,00:00:00
5577150313,338,366,2016-04-22,00:00:00
5577150313,384,402,2016-04-23,00:00:00
5577150313,543,615,2016-04-24,00:00:00
5577150313,421,461,2016-04-25,00:00:00
5577150313,354,377,2016-04-26,00:00:00
5577150313,424,452,2016-04-27,00:00:00
5577150313,361,372,2016-04-28,00:00:00
5577150313,459,485,2016-04-29,00:00:00
5577150313,412,433,2016-04-30,00:00:00
5577150313,379,398,2016-05-01,00:00:00
5577150313,525,553,2016-05-02,00:00:00
5577150313,508,543,2016-05-03,00:00:00
5577150313,603,634,2016-05-04,00:00:00
5577150313,74,78,2016-05-05,00:00:00
5577150313,504,562,2016-05-10,00:00:00
5577150313,431,476,2016-05-11,00:00:00
6117666160,380,398,2016-04-16,00:00:00
6117666160,336,350,2016-04-17,00:00:00
6117666160,493,510,2016-04-18,00:00:00
6117666160,465,492,2016-04-19,00:00:00
6117666160,474,502,2016-04-20,00:00:00
6117666160,508,550,2016-04-21,00:00:00
6117666160,480,546,2016-04-22,00:00:00
6117666160,492,539,2016-04-23,00:00:00
6117666160,353,367,2016-04-24,00:00:00
6117666160,542,557,2016-04-27,00:00:00
6117666160,393,416,2016-04-28,00:00:00
6117666160,600,636,2016-04-29,00:00:00
6117666160,507,575,2016-05-01,00:00:00
6117666160,392,415,2016-05-05,00:00:00
6117666160,658,698,2016-05-06,00:00:00
6117666160,498,507,2016-05-07,00:00:00
6117666160,555,603,2016-05-08,00:00:00
6117666160,492,522,2016-05-09,00:00:00
6775888955,235,260,2016-04-13,00:00:00
6775888955,423,441,2016-04-14,00:00:00
6775888955,391,406,2016-04-15,00:00:00
6962181067,366,387,2016-04-12,00:00:00
6962181067,630,679,2016-04-13,00:00:00
6962181067,508,535,2016-04-14,00:00:00
6962181067,370,386,2016-04-15,00:00:00
6962181067,357,366,2016-04-16,00:00:00
6962181067,427,446,2016-04-17,00:00:00
6962181067,442,458,2016-04-18,00:00:00
6962181067,476,535,2016-04-19,00:00:00
6962181067,418,424,2016-04-20,00:00:00
6962181067,451,457,2016-04-21,00:00:00
6962181067,425,435,2016-04-22,00:00:00
6962181067,528,546,2016-04-23,00:00:00
6962181067,511,514,2016-04-24,00:00:00
6962181067,400,415,2016-04-25,00:00:00
6962181067,441,446,2016-04-26,00:00:00
6962181067,455,467,2016-04-27,00:00:00
6962181067,440,453,2016-04-28,00:00:00
6962181067,433,447,2016-04-29,00:00:00
6962181067,422,424,2016-04-30,00:00:00
6962181067,411,426,2016-05-01,00:00:00
6962181067,466,482,2016-05-02,00:00:00
6962181067,394,418,2016-05-03,00:00:00
6962181067,442,455,2016-05-04,00:00:00
6962181067,467,491,2016-05-05,00:00:00
6962181067,443,462,2016-05-06,00:00:00
6962181067,298,334,2016-05-07,00:00:00
6962181067,541,569,2016-05-08,00:00:00
6962181067,489,497,2016-05-09,00:00:00
6962181067,469,481,2016-05-10,00:00:00
6962181067,452,480,2016-05-11,00:00:00
6962181067,516,535,2016-05-12,00:00:00
7007744171,79,82,2016-04-16,00:00:00
7007744171,58,61,2016-05-01,00:00:00
7086361926,514,525,2016-04-12,00:00:00
7086361926,451,465,2016-04-13,00:00:00
7086361926,472,476,2016-04-14,00:00:00
7086361926,377,386,2016-04-15,00:00:00
7086361926,472,483,2016-04-19,00:00:00
7086361926,492,502,2016-04-20,00:00:00
7086361926,390,411,2016-04-21,00:00:00
7086361926,428,448,2016-04-22,00:00:00
7086361926,681,704,2016-04-24,00:00:00
7086361926,446,447,2016-04-25,00:00:00
7086361926,485,500,2016-04-26,00:00:00
7086361926,469,479,2016-04-27,00:00:00
7086361926,354,367,2016-04-28,00:00:00
7086361926,485,489,2016-04-30,00:00:00
7086361926,388,407,2016-05-01,00:00:00
7086361926,440,459,2016-05-02,00:00:00
7086361926,456,461,2016-05-03,00:00:00
7086361926,420,436,2016-05-04,00:00:00
7086361926,322,333,2016-05-06,00:00:00
7086361926,530,548,2016-05-07,00:00:00
7086361926,481,510,2016-05-08,00:00:00
7086361926,427,438,2016-05-09,00:00:00
7086361926,451,463,2016-05-11,00:00:00
7086361926,444,457,2016-05-12,00:00:00
8053475328,486,493,2016-04-20,00:00:00
8053475328,331,337,2016-04-23,00:00:00
8053475328,74,75,2016-05-07,00:00:00
8378563200,338,356,2016-04-12,00:00:00
8378563200,447,487,2016-04-13,00:00:00
8378563200,424,455,2016-04-14,00:00:00
8378563200,513,533,2016-04-15,00:00:00
8378563200,611,689,2016-04-16,00:00:00
8378563200,525,591,2016-04-17,00:00:00
8378563200,398,451,2016-04-18,00:00:00
8378563200,387,421,2016-04-19,00:00:00
8378563200,381,409,2016-04-20,00:00:00
8378563200,396,417,2016-04-21,00:00:00
8378563200,441,469,2016-04-22,00:00:00
8378563200,565,591,2016-04-23,00:00:00
8378563200,458,492,2016-04-24,00:00:00
8378563200,388,402,2016-04-25,00:00:00
8378563200,388,402,2016-04-25,00:00:00
8378563200,550,584,2016-04-26,00:00:00
8378563200,531,600,2016-04-27,00:00:00
8378563200,506,556,2016-04-28,00:00:00
8378563200,527,562,2016-04-29,00:00:00
8378563200,468,555,2016-04-30,00:00:00
8378563200,475,539,2016-05-01,00:00:00
8378563200,351,385,2016-05-02,00:00:00
8378563200,405,429,2016-05-03,00:00:00
8378563200,441,477,2016-05-04,00:00:00
8378563200,381,417,2016-05-05,00:00:00
8378563200,323,355,2016-05-06,00:00:00
8378563200,459,513,2016-05-07,00:00:00
8378563200,545,606,2016-05-08,00:00:00
8378563200,359,399,2016-05-09,00:00:00
8378563200,342,391,2016-05-10,00:00:00
8378563200,368,387,2016-05-11,00:00:00
8378563200,496,546,2016-05-12,00:00:00
8792009665,458,493,2016-04-12,00:00:00
8792009665,531,552,2016-04-13,00:00:00
